2020-02-23 16:21:52.461  INFO 12448 --- [Thread-24] com.zaxxer.hikari.HikariDataSource       : HikariPool-5 - Shutdown completed.
2020-02-23 16:21:53.104  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Starting CommunityApplication on DESKTOP-70V9PG4 with PID 12448 (G:\community\target\classes started by 无极之道 in G:\community)
2020-02-23 16:21:53.105  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : No active profile set, falling back to default profiles: default
2020-02-23 16:21:53.464  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-02-23 16:21:53.465  INFO 12448 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-23 16:21:53.465  INFO 12448 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-23 16:21:53.490  INFO 12448 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-23 16:21:53.490  INFO 12448 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 382 ms
2020-02-23 16:21:53.509  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-6 - Starting...
2020-02-23 16:21:53.528  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-6 - Start completed.
2020-02-23 16:21:53.528  INFO 12448 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/community'
2020-02-23 16:21:53.705  INFO 12448 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-23 16:21:53.720  INFO 12448 --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2020-02-23 16:21:53.842  INFO 12448 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2020-02-23 16:21:53.856  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-02-23 16:21:53.857  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Started CommunityApplication in 0.835 seconds (JVM running for 788.159)
2020-02-23 16:21:53.858  INFO 12448 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2020-02-23 16:22:18.009  INFO 12448 --- [Thread-29] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-02-23 16:22:18.010  INFO 12448 --- [Thread-29] com.zaxxer.hikari.HikariDataSource       : HikariPool-6 - Shutdown initiated...
2020-02-23 16:22:18.062  INFO 12448 --- [Thread-29] com.zaxxer.hikari.HikariDataSource       : HikariPool-6 - Shutdown completed.
2020-02-23 16:22:18.477  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Starting CommunityApplication on DESKTOP-70V9PG4 with PID 12448 (G:\community\target\classes started by 无极之道 in G:\community)
2020-02-23 16:22:18.478  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : No active profile set, falling back to default profiles: default
2020-02-23 16:22:18.681  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-02-23 16:22:18.681  INFO 12448 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-23 16:22:18.681  INFO 12448 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-23 16:22:18.703  INFO 12448 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-23 16:22:18.703  INFO 12448 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 223 ms
2020-02-23 16:22:18.714  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-7 - Starting...
2020-02-23 16:22:18.723  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-7 - Start completed.
2020-02-23 16:22:18.723  INFO 12448 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/community'
2020-02-23 16:22:18.829  INFO 12448 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-23 16:22:18.843  INFO 12448 --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2020-02-23 16:22:18.936  INFO 12448 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2020-02-23 16:22:18.948  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-02-23 16:22:18.948  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Started CommunityApplication in 0.494 seconds (JVM running for 813.251)
2020-02-23 16:22:18.949  INFO 12448 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2020-02-23 16:22:25.882  INFO 12448 --- [Thread-34] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-02-23 16:22:25.883  INFO 12448 --- [Thread-34] com.zaxxer.hikari.HikariDataSource       : HikariPool-7 - Shutdown initiated...
2020-02-23 16:22:25.908  INFO 12448 --- [Thread-34] com.zaxxer.hikari.HikariDataSource       : HikariPool-7 - Shutdown completed.
2020-02-23 16:22:26.296  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Starting CommunityApplication on DESKTOP-70V9PG4 with PID 12448 (G:\community\target\classes started by 无极之道 in G:\community)
2020-02-23 16:22:26.297  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : No active profile set, falling back to default profiles: default
2020-02-23 16:22:26.483  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-02-23 16:22:26.484  INFO 12448 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-23 16:22:26.484  INFO 12448 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-23 16:22:26.503  INFO 12448 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-23 16:22:26.503  INFO 12448 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 205 ms
2020-02-23 16:22:26.512  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-8 - Starting...
2020-02-23 16:22:26.521  INFO 12448 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-8 - Start completed.
2020-02-23 16:22:26.521  INFO 12448 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/community'
2020-02-23 16:22:26.623  INFO 12448 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-23 16:22:26.633  INFO 12448 --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2020-02-23 16:22:26.724  INFO 12448 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2020-02-23 16:22:26.737  INFO 12448 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-02-23 16:22:26.738  INFO 12448 --- [restartedMain] com.fng.CommunityApplication             : Started CommunityApplication in 0.457 seconds (JVM running for 821.041)
2020-02-23 16:22:26.739  INFO 12448 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2020-02-23 16:23:14.623  INFO 3352 --- [restartedMain] com.fng.CommunityApplication             : Starting CommunityApplication on DESKTOP-70V9PG4 with PID 3352 (G:\community\target\classes started by 无极之道 in G:\community)
2020-02-23 16:23:14.626  INFO 3352 --- [restartedMain] com.fng.CommunityApplication             : No active profile set, falling back to default profiles: default
2020-02-23 16:23:14.673  INFO 3352 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-02-23 16:23:14.674  INFO 3352 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-02-23 16:23:15.770  INFO 3352 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-02-23 16:23:15.775  INFO 3352 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-23 16:23:15.775  INFO 3352 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-23 16:23:15.854  INFO 3352 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-23 16:23:15.854  INFO 3352 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1180 ms
2020-02-23 16:23:15.881  INFO 3352 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2020-02-23 16:23:15.987  INFO 3352 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2020-02-23 16:23:15.991  INFO 3352 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/community'
2020-02-23 16:23:16.416  INFO 3352 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-23 16:23:16.457  INFO 3352 --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2020-02-23 16:23:16.625  INFO 3352 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2020-02-23 16:23:16.659  INFO 3352 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-02-23 16:23:16.661  INFO 3352 --- [restartedMain] com.fng.CommunityApplication             : Started CommunityApplication in 2.325 seconds (JVM running for 3.212)
2020-02-23 21:42:56.279  INFO 2372 --- [restartedMain] com.fng.CommunityApplication             : Starting CommunityApplication on DESKTOP-70V9PG4 with PID 2372 (G:\community\target\classes started by 无极之道 in G:\community)
2020-02-23 21:42:56.282  INFO 2372 --- [restartedMain] com.fng.CommunityApplication             : No active profile set, falling back to default profiles: default
2020-02-23 21:42:56.333  INFO 2372 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-02-23 21:42:56.334  INFO 2372 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-02-23 21:42:57.739  INFO 2372 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-02-23 21:42:57.747  INFO 2372 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-23 21:42:57.748  INFO 2372 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-23 21:42:57.840  INFO 2372 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-23 21:42:57.840  INFO 2372 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1506 ms
2020-02-23 21:42:57.872  INFO 2372 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2020-02-23 21:42:57.999  INFO 2372 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2020-02-23 21:42:58.005  INFO 2372 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/community'
2020-02-23 21:42:58.533  INFO 2372 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-23 21:42:58.576  INFO 2372 --- [restartedMain] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2020-02-23 21:42:58.760  INFO 2372 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2020-02-23 21:42:58.796  INFO 2372 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-02-23 21:42:58.799  INFO 2372 --- [restartedMain] com.fng.CommunityApplication             : Started CommunityApplication in 2.82 seconds (JVM running for 3.748)
2020-02-23 21:43:04.162  INFO 2372 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-02-23 21:43:04.163  INFO 2372 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-02-23 21:43:04.168  INFO 2372 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 5 ms
2020-02-23 21:43:04.216 DEBUG 2372 --- [http-nio-8080-exec-1] c.fng.mapper.UserMapper.selectByExample  : ==>  Preparing: select ID, ACCOUNT_ID, NAME, TOKEN, GMTCREATE, GMTMODIFIED, BIO, AVATAR_URL from USER WHERE ( TOKEN = ? ) 
2020-02-23 21:43:04.232 DEBUG 2372 --- [http-nio-8080-exec-1] c.fng.mapper.UserMapper.selectByExample  : ==> Parameters: 91491e82-58ad-4439-8424-d8b171440468(String)
2020-02-23 21:43:04.242 DEBUG 2372 --- [http-nio-8080-exec-1] c.fng.mapper.UserMapper.selectByExample  : <==      Total: 1
2020-02-23 21:43:04.549  WARN 2372 --- [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase        : Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [303] milliseconds.
2020-02-23 21:43:04.564 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.QuestionExtMapper.countBySearch    : ==>  Preparing: select count(*) from QUESTION 
2020-02-23 21:43:04.565 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.QuestionExtMapper.countBySearch    : ==> Parameters: 
